x,y,value
ALDH3B2_GLYCOLYSIS_GLUCONEOGENESIS,pDC_CD8Pos_over_cDC_CD8Pos,0.776192181
ACYP2_PYRUVATE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,0.906171088
GALK2_GALACTOSE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,1.008152793
PRPS1L1_PENTOSE_PHOSPHATE_PATHWAY,pDC_CD8Pos_over_cDC_CD8Pos,0.845078963
PKLR_GLYCOLYSIS_GLUCONEOGENESIS,pDC_CD8Pos_over_cDC_CD8Pos,0.663839712
GAPDH_GLYCOLYSIS_GLUCONEOGENESIS,pDC_CD8Pos_over_cDC_CD8Pos,0.792729572
FUK_FRUCTOSE_AND_MANNOSE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,0.894383165
PYGM_STARCH_AND_SUCROSE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,0.847083243
MTHFD1L_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,1.048125929
GAPDH_GLYCOLYSIS_GLUCONEOGENESIS,pDC_CD8Pos_over_cDC_CD8Pos,0.777948428
PIK3C2G_INOSITOL_PHOSPHATE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,0.896660063
SORD_FRUCTOSE_AND_MANNOSE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,1.021173156
GAPDH_GLYCOLYSIS_GLUCONEOGENESIS,pDC_CD8Pos_over_cDC_CD8Pos,0.779652715
CYB5R1_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,0.347915357
GAPDH_GLYCOLYSIS_GLUCONEOGENESIS,pDC_CD8Pos_over_cDC_CD8Pos,0.784684975
LDHC_GLYCOLYSIS_GLUCONEOGENESIS,pDC_CD8Pos_over_cDC_CD8Pos,1.009298626
ME3_PYRUVATE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,0.806070403
PLCZ1_INOSITOL_PHOSPHATE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,0.85960734
CHIA_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,0.896624823
UGT2A1_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS,pDC_CD8Pos_over_cDC_CD8Pos,1.051398779
PMM1_FRUCTOSE_AND_MANNOSE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,1.452187066
GAPDH_GLYCOLYSIS_GLUCONEOGENESIS,pDC_CD8Pos_over_cDC_CD8Pos,0.85860706
GAPDH_GLYCOLYSIS_GLUCONEOGENESIS,pDC_CD8Pos_over_cDC_CD8Pos,0.774675168
ADH7_GLYCOLYSIS_GLUCONEOGENESIS,pDC_CD8Pos_over_cDC_CD8Pos,0.992113732
ALDH3B2_GLYCOLYSIS_GLUCONEOGENESIS,pDC_CD8Pos_over_cDC_CD8Pos,0.845793458
MTHFD2L_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,0.883438976
MTMR6_FRUCTOSE_AND_MANNOSE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,0.797650084
GAPDH_GLYCOLYSIS_GLUCONEOGENESIS,pDC_CD8Pos_over_cDC_CD8Pos,0.749274706
HYI_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,0.880004375
LALBA_GALACTOSE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,0.7734736
CHIT1_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,0.808960742
GAPDH_GLYCOLYSIS_GLUCONEOGENESIS,pDC_CD8Pos_over_cDC_CD8Pos,0.790130888
GLA_GALACTOSE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,1.677817687
GCK_GLYCOLYSIS_GLUCONEOGENESIS,pDC_CD8Pos_over_cDC_CD8Pos,0.886831562
ACYP1_PYRUVATE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,0.90319241
AKR1B10_FRUCTOSE_AND_MANNOSE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,0.590218121
TKTL1_PENTOSE_PHOSPHATE_PATHWAY,pDC_CD8Pos_over_cDC_CD8Pos,0.669278616
