y,value,x
pDC_CD8Pos_over_cDC_CD8Pos,0.696978094,PGAM1_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Pos_over_cDC_CD8Pos,0.920929646,G6PC2_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Pos_over_cDC_CD8Pos,0.827960953,PGK2_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Pos_over_cDC_CD8Pos,0.951929934,ADH4_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Pos_over_cDC_CD8Pos,1.014608852,PGM1_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Pos_over_cDC_CD8Pos,1.658298699,HK1_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Pos_over_cDC_CD8Pos,0.817955672,TPI1_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Pos_over_cDC_CD8Pos,1.125170308,DLAT_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Pos_over_cDC_CD8Pos,0.355216171,PGK1_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Pos_over_cDC_CD8Pos,1.112366971,ALDH7A1_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Pos_over_cDC_CD8Pos,1.530951427,PCK2_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Pos_over_cDC_CD8Pos,0.345591601,PGK1_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Pos_over_cDC_CD8Pos,1.005560956,PFKL_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Pos_over_cDC_CD8Pos,1.431266412,PFKM_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Pos_over_cDC_CD8Pos,1.008437248,ALDH3A2_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Pos_over_cDC_CD8Pos,0.962767992,ALDH9A1_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Pos_over_cDC_CD8Pos,0.957489202,LDHA_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Pos_over_cDC_CD8Pos,1.275169007,ACSS2_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Pos_over_cDC_CD8Pos,1.202534974,PGM2_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Pos_over_cDC_CD8Pos,0.833420661,DLD_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Pos_over_cDC_CD8Pos,1.928758717,PDHA1_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Pos_over_cDC_CD8Pos,1.242901687,BPGM_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Pos_over_cDC_CD8Pos,1.087162918,ALDOA_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Pos_over_cDC_CD8Pos,1.571061085,PDHB_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Pos_over_cDC_CD8Pos,1.741349287,ALDH1B1_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Pos_over_cDC_CD8Pos,0.953830197,ADH5_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Pos_over_cDC_CD8Pos,2.932767769,PGAM2_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Pos_over_cDC_CD8Pos,0.702988312,PFKP_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Pos_over_cDC_CD8Pos,3.963827202,LDHB_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Pos_over_cDC_CD8Pos,4.885893882,LDHB_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Pos_over_cDC_CD8Pos,2.022936789,ALDH3B1_GLYCOLYSIS_GLUCONEOGENESIS
